Author Info
Author,# Of Reviews,Product URL,Rating,Average Rating,Review Text,Review Date,Sentiment Score,Word Count,# LQ Words,Verified Purchase,Repeatability Percentage
Amazon Customer,56,https://www.amazon.ca/Bluetooth-Headphones-AUKEY-Sweatproof-Smartphones/dp/B014R2MGDA?ref=pf_vv_at_pdctrvw_dp,5,3.7,Easy to use and fast shipping thanks,2016-09-29,0.985707,7,0,Yes,0.03448275862068964
Kindle Customer,46,https://www.amazon.ca/%C3%A2mes-mortes-French-Nikolai-Gogol-ebook/dp/B00BU8JPE8?ref=pf_vv_at_pdctrvw_dp,5,5.0,"Excellente traduction, lecture agréable.",2018-08-21,0.0,4,0,Yes,0.014925373134328342
scott morrell,56,https://www.amazon.ca/Hayward-SP1420-Hydrostream-Fitting-Directional/dp/B004VTGN8E?ref=pf_vv_at_pdctrvw_dp,4,3.5,The only bummer is that the kids like to fidget with it.,2015-02-09,-0.916379,12,0,Yes,0.023255813953488347
Jennifer,192,https://www.amazon.ca/Philips-HP6341-00-LadyShaver-Electric/dp/B009T0537W?ref=pf_vv_at_pdctrvw_dp,4,4.0,Smaller then expected but work ok,2017-09-19,0.449581,6,0,Yes,0.01111111111111111
Michael Hudson,43,https://www.amazon.ca/Sawyer-Products-SP128-Filtration-System/dp/B00FA2RLX2?ref=pf_vv_at_pdctrvw_dp,5,4.7,Great shipping and product as shown. Thanks!,2016-12-21,0.3931085,7,0,Yes,0.016393442622950827
Saima Tazreen,33,https://www.amazon.ca/Revlon-RVDR5202F-Essentials-1875-Watt-Ionic/dp/B01M9D1GDS?ref=pf_vv_at_pdctrvw_dp,5,4.0,I am so in love with this!!! I was a little unsure about this as I am very sensitive about my hairstyling. This has served me better than any other dryer I have used before. And the price is very reasonable! I strongly recommend this!,2018-09-07,0.5678596,45,0,Yes,0.018867924528301886
Sheila Borden,24,https://www.amazon.ca/European-Style-Newsboy-Retro-Irish/dp/B06ZZ1J75Y?ref=pf_vv_at_pdctrvw_dp,5,4.6,"My Husband loves this hat. Fits as expected 24"" his size He's planning on ordering another.…",2018-02-25,0.4798095,16,0,Yes,0.03571428571428568
Michael Hudson,43,https://www.amazon.ca/Stansport-Blend-Blanket-Olive-Green/dp/B00AD6KDVC?ref=pf_vv_at_pdctrvw_dp,5,4.5,"Good shipping and heavy blanket. It does have a smell as others mentioned, but I just got this to use under my sleeping bag.",2016-10-14,0.2962825,24,0,Yes,0.016393442622950827
AJ,22,https://www.amazon.ca/Bergamot-Essential-Oil-Calabrian-Therapeutic/dp/B015RU21KO?ref=pf_vv_at_pdctrvw_dp,4,4.3,Not as good as others on its own but it's great to mix to add richer scent.,2017-05-17,0.619548,17,0,Yes,0.07692307692307694
Michael Hudson,43,https://www.amazon.ca/ThruNite-Ti3-Flashlight-Max120-Neutral/dp/B00EC0FY1O?ref=pf_vv_at_pdctrvw_dp,5,4.4,Awesome little flashlights,2016-10-14,0.860502,3,0,Yes,0.016393442622950827
Christian,3,https://www.amazon.ca/GETIHU-Portable-External-Powerbank-Compatible/dp/B06Y4NXHB2?ref=pf_vv_at_pdctrvw_dp,5,4.6,"Produit très efficace pour son prix. Il faut simplement s'assurer d'utiliser le câble qui est fourni avec le chargeur portatif, car avec d'autres câbles le temps de charge peut être est plus long.",2018-06-28,0.3930445,33,0,Yes,0.1111111111111111
Jennifer,192,https://www.amazon.ca/Brighter-Child-Flash-Cards-Alphabet/dp/0769646794?ref=pf_vv_at_pdctrvw_dp,5,4.6,as expected,2018-11-02,0.0,2,0,Yes,0.01111111111111111
neighbour2thenorth,25,https://www.amazon.ca/Majestic-Earth-Plant-Derived-Minerals/dp/B00IM5E0CE?ref=pf_vv_at_pdctrvw_dp,5,4.6,"This company is, in my view, probably one of the premier suppliers of minerals. Although, next time I will order cherry flavour as the non-flavoured product is quite bitter. Dr. Joel Wallach is the creator of this product, I believe. His life story and ca…",2018-03-08,0.25237425,45,0,Yes,0.05
Joshua Kennedy,8,https://www.amazon.ca/Anjou-Aromatherapy-Peppermint-Eucalyptus-Humidifier/dp/B07D48YM4S?ref=pf_vv_at_pdctrvw_dp,5,4.3,I love how it works and all the scents!,2018-12-06,0.987488,9,0,Yes,0.07142857142857142
Christopher Darling,10,https://www.amazon.ca/Samsung-Galaxy-X-Doria-Defense-Shield/dp/B06XYJNKQB?ref=pf_vv_at_pdctrvw_dp,4,4.4,"Looks great! But the clear back already is very scuffed up after only one day of use. Also, the top part of the purple metal is a different colour. Much closer to pink than purple. It looks like it's been worn out or something. I checked under different lightin…",2018-03-29,-0.04172400000000002,49,0,Yes,0.034482758620689655
