Sentiment Info,"Product Name: Comfort Zone CZST161BTE Pedestal Fan || Date Scraped: [datetime.datetime(2019, 1, 24, 17, 17, 30, 822872)]",,Product URL: https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8
Rating,Average Rating,Author,Review Text,Review Date,Verified Purchase,# HQ Words,Word Count,# LQ Words,Sentiment Score
4,4.0,Jessica McBride,"Great for a cheap fan for my home gym. A little flimsy looking looking, I wouldn’t have it around small children",2018-11-28,Yes,2,21,0,-0.040791999999999995
5,4.0,melissa m,Works perfect,2018-10-27,Yes,0,2,0,0.0
5,4.0,Nicholas M.,"Easy assembly, literally had t hooked up and on within 2 minutes. Exactly what I expected.",2019-01-02,No,1,16,0,0.394877
4,4.0,Christopher Darling,"Went together easy enough. Not too sturdy for a pedestal fan. Does the trick buy feels especially cheap.

I worked in the department that sold fans at Sears for 4 years. This one is maybe slightly below in terms of quality of materials our cheapest fan. It's a cheap fan that works fine. I don't expect it to have a long life though.",2018-10-20,Yes,4,63,0,0.214647
1,4.0,makaveli,Make a weird noise when on rotation,2018-11-19,Yes,1,7,0,-0.576895
5,4.0,Amazon Customer,Perfect,2018-09-11,Yes,0,1,0,0.0
3,4.0,Heather Hendrick,Not very sturdy,2018-10-26,Yes,1,3,0,-0.524656
5,4.0,Mike Philpott,Great product. Came disassembled but very easy to put together.,2018-10-03,Yes,0,10,0,0.939616
5,4.0,Shaf,Very good,2018-10-18,Yes,0,2,0,0.0
5,4.0,Louis-Étienne Gagnon,Good product for good price,2018-09-15,Yes,1,5,0,0.892446
5,4.0,Tausif Ahamed Bhuiyan,Very good fan,2018-12-04,Yes,0,3,0,0.987657
5,4.0,santosh,Good product,2018-10-21,Yes,0,2,0,0.0
5,4.0,Jennifer,was looking for an economy priced fan that works and it does the only complaint is the lowest setting could be a little lower,2018-11-02,Yes,0,24,0,-0.651174
3,4.0,Client d'Amazon,Bien mais fait un bruit quand il arrive tout à gauche en oscillant,2018-12-06,Yes,0,12,0,-0.348935
5,4.0,Client d'Amazon,Good quality for the price,2019-01-18,Yes,2,5,0,0.913207
5,4.0,Amazon Customer,"Good fan, pretty loud on the top speed though. Still..for the price it's worth it.",2018-11-21,Yes,4,15,0,0.841548
5,4.0,Matthew Wickware,Nothing fancy butworks like a charm.,2018-10-02,Yes,1,6,0,0.522418
4,4.0,Sheila Borden,Works well but really loud,2018-10-13,Yes,1,5,0,0.387282
3,4.0,Amazon Customer,Good for the money. Box had been opened and was shipped open. Works well,2018-10-31,Yes,0,14,0,0.30026533333333333
5,4.0,Jay,as advertised,2018-09-29,Yes,0,2,0,0.0
1,4.0,Amazon Customer,smelled strong from plastic smell.. do not order one..,2019-01-17,Yes,3,9,0,-0.574208
5,4.0,Sydney,Really easy to set up and runs great throughout the night,2018-11-13,Yes,1,11,0,0.977534
2,4.0,Allrounder,"I got what I paid for. The plastic is so flimsy, it is a dollar store quality. Bought two of these and the motor on one of them doesn't run smoothly - it still sends breeze but it does faster and slower motion constantly regardless of the speed choice. Stand is somewhat wobbly. I won't buy a Dyson for a fan but I wouldn't buy this again either.",2018-08-27,Yes,6,67,0,-0.07169220000000001
2,4.0,Amazon Customer,"Box arrived damaged. When I put the fan together, there was a rattling in the motor area as if a piece had broken off. The box was split open. It does work but disappointed. Too much trouble to return it as the box was ripped and dented.",2019-01-08,Yes,2,47,0,-0.7299334
5,4.0,Client d'Amazon,Convient parfaitement,2018-12-23,Yes,0,2,0,0.955243
5,4.0,Amazon Customer,Great fan.,2018-09-05,Yes,0,2,0,0.969602
5,4.0,AJ,Good product for the price. I buy one every year or 2,2018-11-14,Yes,1,12,0,0.3769135
2,4.0,Typhanie,"It is extremely flimsy, poor quality",2018-11-12,Yes,1,6,0,-0.983938
1,4.0,Joshua Kennedy,Not even 24 hrs of use and already stopped working. Smells like burnt motor and won't turn on anymore.,2018-12-16,Yes,1,19,0,-0.933202
5,4.0,Amazon Customer,"It worked, it was easy to put together and very happy.",2018-09-05,Yes,0,11,0,0.991871
4,4.0,Amazon Customer,It’s easy to assemble and good for the price. Works very well. It was delivered quickly and happy with it.,2018-09-14,Yes,1,20,0,0.9626250000000001
5,4.0,Client d'Amazon,"Ce produit est parfait côté qualité-prix. Il est facile à assembler, pas trop bruyant. Il fait bien le travail!",2018-11-15,Yes,0,18,0,0.33216766666666664
4,4.0,Amazon Customer,Good,2018-12-29,Yes,0,1,0,0.0
4,4.0,D,Basic pedestal fan; does it’s job; good for the price,2019-01-13,Yes,1,10,0,0.932509
4,4.0,M Jean Sommerdyk,Decent quality considering the price,2018-11-25,Yes,2,5,0,0.813103
5,4.0,K-Mac,This is a great working fan. Exactly what I wanted. Easy to put together,2018-09-18,Yes,0,14,0,0.6287006666666667
1,4.0,Tee,The pedestal broke within a few days. Not a good product.,2019-01-14,Yes,1,11,0,-0.8163865
2,4.0,merieme,"it works fine and does what it's supposed to do, but has scuffs and scratch marks on it. the box also didn't come in the greatest shape so that's a bummer since it says in the description that the item is new and i paid for a new item..",2018-09-15,Yes,1,49,0,-0.4800975
5,4.0,Bobvsgagnon,Exactement la description et fonctionne bien,2018-12-18,Yes,0,6,0,0.850604
4,4.0,Vino,Good,2018-09-21,Yes,0,1,0,0.0
5,4.0,Christian,"- Very easy to assemble Not to noisy Good quality for the price",2018-08-17,Yes,3,12,0,0.855677
4,4.0,Saima Tazreen,Urgently needed this for the scorching heat this summer. Arrived on time and was quite easy to set up.,2018-09-07,Yes,2,19,0,0.247221
4,4.0,Shopaholic,"Does what is designed.
Build could be improved",2018-12-08,Yes,0,8,0,0.438515
5,4.0,Dave,"Fan works great, as it should operate!",2018-09-12,Yes,0,7,0,0.970633
5,4.0,SG,Good,2018-10-26,Yes,0,1,0,0.0
5,4.0,Amazon Customer,Best fan for this price that I've found. Bottom stays together much better than previous cheaper fans that I have had. Plus it fans out and folds in for easy transport.,2018-12-02,Yes,1,31,0,0.8790429999999999
5,4.0,Amazon Customer,Maybe the best standing fan you can get at this price.,2018-11-09,Yes,1,11,0,0.693127
4,4.0,Mohammed,"At first made some friction noises, but now perfect after old fashion Vaseline lubrication.",2019-01-01,Yes,0,14,0,0.927791
5,4.0,Ted Boucher,Quick and easy to put together.,2018-09-18,Yes,0,6,0,0.932643
5,4.0,Kindle Customer,"Easy to assemble, works well, quiet.",2018-10-05,Yes,1,6,0,0.916166
5,4.0,Amazon Customer,As advertised,2018-11-16,Yes,0,2,0,0.0
5,4.0,Michael Hudson,"Works well, great price.",2018-12-14,Yes,1,4,0,0.964876
4,4.0,Rene Landry,À la maison pour se rafraîchir.,2018-09-16,Yes,0,5,0,0.489337
4,4.0,Dan McKelvey,"Easy to put together, works fine for cooling my small apartment",2018-09-28,Yes,1,11,0,0.942883
3,4.0,scott morrell,The legs fold up when you left the base to move it and when you go to set it back down if you’re not careful it’ll fall over,2018-10-29,Yes,3,28,0,-0.60512
5,4.0,Amazon Customer,This fan really blows. Works great not overly loud.,2019-01-02,Yes,1,9,0,-0.10400700000000002
4,4.0,Amazon Customer,"Unfortunately the product arrived damaged but it still works. It will do the job I need, but the plastic cracked easily.",2018-09-30,Yes,1,21,0,0.0657045
5,4.0,sarbjeet,It is really good.,2019-01-03,Yes,0,4,0,0.985331
5,4.0,Jo-Ann in Toronto,I bought this fan for circulation in a room occupied by two seniors and they love it. The fan stands up anywhere and can be adjusted.,2019-01-05,Yes,1,26,0,0.758338
5,4.0,James A Tibbetts,It's good. No problems.,2018-10-02,Yes,0,4,0,0.0
4,4.0,L Lee,The stand is a little bit filmsy and the pedals come off.. but the fan does its job well so no complaints there,2018-12-27,Yes,0,23,0,0.497732
1,4.0,Ron Seigel,I doubt anyone could make a crappier fan if they tried. Luckily for us it's really just meant for white noise in our bedroom. The last one we bought (cheap junk from Canadian Tire) lasted 10 years and it was literally only shut off to clean it. No way this one lasts a year. The medium setting didn't work right out of the package but it would have been more hassle to return it than it was worth.,2018-11-25,Yes,5,78,0,-0.28788179999999997
4,4.0,Amazon Customer,Easy enough to put together. Cage blade etc all made of plastic. Works great,2018-10-09,Yes,2,14,0,0.630386
5,4.0,Amazon Customer,Very noisy but if that doesn’t bother u it’s a great fan,2018-11-27,Yes,1,12,0,-0.461953
5,4.0,Amazon Customer,I order 3 fans. Easy assembly super quiet and all work great.,2018-10-05,Yes,1,12,0,0.483863
2,4.0,Customer,"Not the best time quality you can find, loud and doesn’t cool the room. Expected to get what I paid for but you could find something much better for the same price. Wouldn’t buy it again",2018-09-06,Yes,3,36,0,-0.31616933333333336
5,4.0,sylvie Rodeghiero,Work perfect,2018-08-27,Yes,0,2,0,0.0
5,4.0,Sudhix,Good pedestal fan. very powerful.,2018-12-21,Yes,1,5,0,0.910038
5,4.0,Denny Samuel Thomas,Awesome fan though the parts are not of high quality. It serves the people,2018-10-17,Yes,2,14,0,0.831029
1,4.0,Amazon Customer,"Well, not fast enough.. blades are just moving fast but not providing any good air conditioning.",2018-10-22,Yes,1,16,0,-0.813091
5,4.0,Eldon Cooper,It is exactly what I expected. A nice quiet fan to circulate the air.,2018-12-12,Yes,1,14,0,0.7796540000000001
5,4.0,Rizzle Dizzle,Good product. The base is wider than you may expect. Fans work well,2018-09-06,Yes,0,13,0,0.263252
4,4.0,Don Attfield,"Easy assembly/disassembly, handy for storage and moving. Works as described.",2019-01-07,Yes,0,10,0,0.46535
4,4.0,SIBY PAUL,So far looks good,2018-08-11,Yes,0,4,0,0.949024
5,4.0,Client d'Amazon,"First time i bought a ventilator, and i'm really glad it was this one.
Not too noisy and exactly what i expected",2018-12-27,Yes,1,22,0,0.2628735
5,4.0,Amazon Customer,"Exactly what I was looking for. Not too loud. Wish the lowest setting was a little bit lighter but that’s ok. I’m one of those freaks that needs a fan blowing in the bedroom all year round, summer or winter.",2018-12-10,Yes,1,40,0,-0.30340933333333336
3,4.0,Bala,Good,2018-10-20,Yes,0,1,0,0.0
1,4.0,Jacklyn Myers,I had this fan for less then three months and it had stopped working!!,2018-12-04,Yes,0,14,0,-0.463046
5,4.0,Claude Beaudoin,Excellent product and easy to put together.,2018-12-21,Yes,0,7,0,0.974186
5,4.0,neighbour2thenorth,Quiet and extremely lightweight,2018-08-20,Yes,0,4,0,0.94625
5,4.0,Nida F.,A good buy for the money I paid for it! It’s basic and gets the job done.,2018-10-27,Yes,0,17,0,0.915152
